Crab ID,Common name,Species name,Sex,Shell condition,Carapace measurement
138,Horsehair crab,Erimacrus isenbeckii,Male,2,98
139,Horsehair crab,Erimacrus isenbeckii,Male,2,101
140,Horsehair crab,Erimacrus isenbeckii,Male,2,84
141,Horsehair crab,Erimacrus isenbeckii,Male,2,94
142,Horsehair crab,Erimacrus isenbeckii,Male,2,100
143,Horsehair crab,Erimacrus isenbeckii,Male,2,88
144,Horsehair crab,Erimacrus isenbeckii,Male,2,85
189,Horsehair crab,Erimacrus isenbeckii,Male,3,87
191,Horsehair crab,Erimacrus isenbeckii,Male,1,93
192,Horsehair crab,Erimacrus isenbeckii,Male,1,89
193,Horsehair crab,Erimacrus isenbeckii,Male,1,76
677,Horsehair crab,Erimacrus isenbeckii,Male,3,74
678,Horsehair crab,Erimacrus isenbeckii,Male,2,72
679,Horsehair crab,Erimacrus isenbeckii,Male,2,66
680,Horsehair crab,Erimacrus isenbeckii,Male,2,70
681,Horsehair crab,Erimacrus isenbeckii,Male,1,82
682,Horsehair crab,Erimacrus isenbeckii,Male,1,82
689,Horsehair crab,Erimacrus isenbeckii,Male,1,78
690,Horsehair crab,Erimacrus isenbeckii,Male,1,82
691,Horsehair crab,Erimacrus isenbeckii,Male,1,79
1769662,Dungeness crab,Metacarcinus magister,Male,3,145
1769663,Dungeness crab,Metacarcinus magister,Male,2,143
1769664,Dungeness crab,Metacarcinus magister,Male,2,132
1769665,Dungeness crab,Metacarcinus magister,Male,2,155
1769666,Dungeness crab,Metacarcinus magister,Male,3,127
1792516,Dungeness crab,Metacarcinus magister,Male,3,161
1816589,Dungeness crab,Metacarcinus magister,Male,2,173
1817432,Dungeness crab,Metacarcinus magister,Male,2,169
1817433,Dungeness crab,Metacarcinus magister,Male,3,154
1817434,Dungeness crab,Metacarcinus magister,Male,3,162
1817435,Dungeness crab,Metacarcinus magister,Male,3,178
1817436,Dungeness crab,Metacarcinus magister,Male,3,160
1817437,Dungeness crab,Metacarcinus magister,Male,2,156
1817438,Dungeness crab,Metacarcinus magister,Male,3,163
1817444,Dungeness crab,Metacarcinus magister,Male,2,186
1817449,Dungeness crab,Metacarcinus magister,Male,3,156
1817461,Dungeness crab,Metacarcinus magister,Male,2,141
1817463,Dungeness crab,Metacarcinus magister,Male,2,152
1817744,Dungeness crab,Metacarcinus magister,Male,3,160
1817745,Dungeness crab,Metacarcinus magister,Male,2,186
2408135,Scarlet King crab,Lithodes couesi,Male,2,29
2409479,Scarlet King crab,Lithodes couesi,Male,3,149
2409481,Scarlet King crab,Lithodes couesi,Female,3,121
2409482,Scarlet King crab,Lithodes couesi,Female,2,98
2409483,Scarlet King crab,Lithodes couesi,Male,2,121
2409485,Scarlet King crab,Lithodes couesi,Female,2,999
2410478,Scarlet King crab,Lithodes couesi,Male,2,35
2519855,Scarlet King crab,Lithodes couesi,Male,2,32
2519856,Scarlet King crab,Lithodes couesi,Male,2,45
2521502,Scarlet King crab,Lithodes couesi,Female,2,100
2521503,Scarlet King crab,Lithodes couesi,Female,2,95
2521504,Scarlet King crab,Lithodes couesi,Female,2,80
2521505,Scarlet King crab,Lithodes couesi,Female,2,77
2521787,Scarlet King crab,Lithodes couesi,Female,2,123
2521789,Scarlet King crab,Lithodes couesi,Female,2,123
2522796,Grooved Tanner crab,Chionoecetes tanneri,Female,2,43
2522797,Grooved Tanner crab,Chionoecetes tanneri,Female,2,72
2522798,Scarlet King crab,Lithodes couesi,Female,2,85
2522799,Scarlet King crab,Lithodes couesi,Female,2,99
2522800,Scarlet King crab,Lithodes couesi,Female,2,114
2522803,Grooved Tanner crab,Chionoecetes tanneri,Male,1,999
2522804,Grooved Tanner crab,Chionoecetes tanneri,Male,1,141
2522805,Grooved Tanner crab,Chionoecetes tanneri,Male,2,115
2522806,Grooved Tanner crab,Chionoecetes tanneri,Male,2,124
2522807,Grooved Tanner crab,Chionoecetes tanneri,Male,2,114
2522808,Grooved Tanner crab,Chionoecetes tanneri,Male,2,115
2522809,Grooved Tanner crab,Chionoecetes tanneri,Male,2,117
2522810,Grooved Tanner crab,Chionoecetes tanneri,Male,2,103
2522811,Grooved Tanner crab,Chionoecetes tanneri,Male,1,105
2522812,Grooved Tanner crab,Chionoecetes tanneri,Male,1,103
2522813,Grooved Tanner crab,Chionoecetes tanneri,Male,1,137
2522814,Grooved Tanner crab,Chionoecetes tanneri,Male,1,129
2522815,Grooved Tanner crab,Chionoecetes tanneri,Male,1,145
2522816,Grooved Tanner crab,Chionoecetes tanneri,Male,1,124
2522817,Grooved Tanner crab,Chionoecetes tanneri,Male,1,124
2522818,Grooved Tanner crab,Chionoecetes tanneri,Male,3,136
2522819,Grooved Tanner crab,Chionoecetes tanneri,Male,3,148
2523020,Scarlet King crab,Lithodes couesi,Female,2,87
2523021,Scarlet King crab,Lithodes couesi,Female,2,148
3018793,Grooved Tanner crab,Chionoecetes tanneri,Male,2,107